dest,symbol,name,address,decimals,origin,sourceAddress,sourceDecimals,coingeckoId,logo,serumV3Usdc,serumV3Usdt
terra,UNI,Uniswap (Portal),terra1wyxkuy5jq545fn7xfn3enpvs5zg9f9dghf6gxf,8.0,eth,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,18.0,uniswap,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/UNI_wh.png,B7b5rjQuqQCuGqmUBWmcCTqaL3Z1462mo4NArqty6QFR,FrKM6kJtAjXknHPEpkrQtJSXZwUxV5dq26wDpc4YjQST
terra,USDCet,USD Coin (Portal from Ethereum),terra1pepwcav40nvj3kh60qqgrk8k07ydmc00xyat06,6.0,eth,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6.0,usd-coin,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/USDCet_wh.png,,
terra,USDTet,Tether USD (Portal from Ethereum),terra1ce06wkrdm4vl6t0hvc0g86rsy27pu8yadg3dva,6.0,eth,0xdac17f958d2ee523a2206206994597c13d831ec7,6.0,tether,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/USDTet_wh.png,,
terra,WBTC,Wrapped BTC (Portal),terra1aa7upykmmqqc63l924l5qfap8mrmx5rfdm0v55,8.0,eth,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8.0,wrapped-bitcoin,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/WBTC_wh.png,,
terra,gOHM,Governance OHM (Portal),terra1fpfn2kkr8mv390wx4dtpfk3vkjx9ch3thvykl3,8.0,eth,0x0ab87046fbb341d058f17cbc4c1133f25a20a52f,18.0,governance-ohm,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/gOHM_wh.png,,
terra,bETH,Lido bETH (Portal),terra1u5szg038ur9kzuular3cae8hq6q5rk5u27tuvz,8.0,eth,0x707f9118e33a9b8998bea41dd0d46f38bb963fc8,18.0,anchor-beth-token,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/bETH_wh.png,,
terra,wstETH,Lido wstETH (Portal),terra133chr09wu8sakfte5v7vd8qzq9vghtkv4tn0ur,8.0,eth,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,18.0,wrapped-steth,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/wstETH_wh.png,,
terra,stETH,Lido Staked Ether (Portal),terra1w7ywr6waxtjuvn5svk5wqydqpjj0q9ps7qct4d,8.0,eth,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,18.0,lido-staked-ether,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/stETH_wh.png,,
terra,SD,Stader SD (Portal),terra1ustvnmngueq0p4jd7gfnutgvdc6ujpsjhsjd02,8.0,eth,0x30D20208d987713f46DFD34EF128Bb16C404D10f,18.0,stader,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/SD_wh.png,,
terra,MATICpo,MATIC (Portal from Polygon),terra1dtqlfecglk47yplfrtwjzyagkgcqqngd5lgjp8,8.0,matic,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18.0,polygon,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/MATICpo_wh.png,5WRoQxE59966N2XfD2wYy1uhuyKeoVJ9NBMH6r6RNYEF,
terra,USDCpo,USD Coin (PoS) (Portal from Polygon),terra1kkyyh7vganlpkj0gkc2rfmhy858ma4rtwywe3x,6.0,matic,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6.0,usd-coin,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/USDCpo_wh.png,,
terra,RAY,Raydium (Portal),terra1ht5sepn28z999jx33sdduuxm9acthad507jg9q,6.0,sol,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,6.0,raydium,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/RAY_wh.png,,
terra,SBR,Saber (Portal),terra17h82zsq6q8x5tsgm5ugcx4gytw3axguvzt4pkc,6.0,sol,Saber2gLauYim4Mvftnrasomsv6NvAuncvMEZwcLpD1,6.0,saber,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/SBR_wh.png,,
terra,SOL,SOL (Portal),terra190tqwgqx7s8qrknz6kckct7v607cu068gfujpk,8.0,sol,So11111111111111111111111111111111111111112,9.0,solana,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/SOL_wh.png,,
terra,SRMso,Serum (Portal from Solana),terra1dkam9wd5yvaswv4yq3n2aqd4wm5j8n82qc0c7c,6.0,sol,SRMuApVNdxXokk5GT7XD5cUUgXMBCoAz2LHeuAoKWRt,6.0,serum,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/SRMso_wh.png,,
terra,USDCso,USD Coin (Portal from Solana),terra1e6mq63y64zcxz8xyu5van4tgkhemj3r86yvgu4,6.0,sol,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6.0,usd-coin,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/USDCso_wh.png,,
terra,USDTso,Tether USD (Portal from Solana),terra1hd9n65snaluvf7en0p4hqzse9eqecejz2k8rl5,6.0,sol,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,6.0,tether,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/USDTso_wh.png,,
terra,mSOL,Marinade staked SOL (Portal),terra1qvlpf2v0zmru3gtex40sqq02wxp39x3cjh359y,8.0,sol,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,9.0,marinade-staked-sol,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/mSOL_wh.png,,
matic,TBTC,Threshold Bitcoin,0x236aa50979D5f3De3Bd1Eeb40E81137F22ab794b,18.0,optimism,0x6c84a8f1c29108F47a79964b5Fe888D4f4D0dE40,18.0,tbtc,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/TBTC_wh.png,,
