NAME,SYMBOL,ADDRESS,DECIMALS,LOGOURI,VERIFIED
Solcubator,SOLC,Bx1fDtvTN6NvE4kjdPHQXtmGSg582bZx9fGy4DQNMmAT,9,https://assets.coingecko.com/coins/images/18682/large/Solcubator-Logo-Icon.png?1632966591,true
renBTC,renBTC,CDJWUqTcYTVAKXAVXoQZFes5JUFc7owSeq7eMQcDSbo5,8,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/CDJWUqTcYTVAKXAVXoQZFes5JUFc7owSeq7eMQcDSbo5/logo.png,true
Wrapped USTC,USTC,CXLBjMMcwkc17GfJtBos6rQCo1ypeH6eDbB82Kby4MRm,9,https://assets.coingecko.com/coins/images/15462/large/ust.png?1620910058,true
CropperFinance,CRP,DubwWZNWiNGMMeeQHPnMATNj77YZPZSAz2WVR5WjLJqz,9,https://assets.coingecko.com/coins/images/17883/large/copperfinance.PNG?1629708744,true
Aldrin,RIN,E5ndSkaB17Dm7CsD22dvcjfrYSDLCxFcMd6z8ddCk5wp,9,https://assets.coingecko.com/coins/images/16849/large/Aldrin.png?1629959768,true
Fabric,FAB,EdAhkbj5nF9sRM7XN7ewuW8C9XEUMs8P7cnoQ57SYE96,9,https://assets.coingecko.com/coins/images/16649/large/FABLOGO_TRANS200.png?1624592643,true
VentureCapital,VCC,FZgL5motNWEDEa24xgfSdBDfXkB9Ru9KxfEsey9S58bb,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/FZgL5motNWEDEa24xgfSdBDfXkB9Ru9KxfEsey9S58bb/logo.svg,true
NINJA,NINJA,FgX1WD9WzMU3yLwXaFSarPfkgzjLb2DZCqmkx9ExpuvJ,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/FgX1WD9WzMU3yLwXaFSarPfkgzjLb2DZCqmkx9ExpuvJ/logo.png,true
Potato,POTATO,GEYrotdkRitGUK5UMv3aMttEhVAZLhRJMcG82zKYsaWB,3,https://assets.coingecko.com/coins/images/18254/large/logocircle.png?1631151305,true
SOLAPE,SOLAPE,GHvFFSZ9BctWsEc5nujR1MTmmJWY7tgQz2AXE6WVFtGN,9,https://assets.coingecko.com/coins/images/16930/large/128px-coin.png?1625753550,true
Solpad Finance,SOLPAD,GfJ3Vq2eSTYf1hJP6kKLE9RT6u7jF9gNszJhZwo5VPZp,9,https://assets.coingecko.com/coins/images/16368/large/solpad.PNG?1623820231,true
Dexlab,DXL,GsNzxJfFn6zQdJGeYsupJWzUAm57Ba7335mfhWvFiE9Z,6,https://assets.coingecko.com/coins/images/17276/large/3_GradientSymbol.png?1650936792,true
JET,JET,JET6zMJWkCN9tpRT2v2jfAmm5VnQFDpUBCyaKojmGtz,9,https://assets.coingecko.com/coins/images/18437/large/jet_logomark_color.png?1631972990,true
Mercurial,MER,MERt85fc5boKw3BW1eYdxonEuJNvXbiMbs6hvheau5K,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/MERt85fc5boKw3BW1eYdxonEuJNvXbiMbs6hvheau5K/logo.png,true
Metaplex,META,METAewgxyPbgwsseH8T16a39CQ5VyVxZi9zXiDPY18m,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/METAewgxyPbgwsseH8T16a39CQ5VyVxZi9zXiDPY18m/logo.png,true
Synchrony,SCY,SCYfrGCw8aDiqdgcpdGjV6jp4UVVQLuphxTDLNWu36f,9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/SCYfrGCw8aDiqdgcpdGjV6jp4UVVQLuphxTDLNWu36f/logo.png,true
Solrise Finance,SLRS,SLRSSpSLUTP7okbCUBYStWCo1vUgyt775faPqz8HUMr,6,https://assets.coingecko.com/coins/images/15762/large/9989.png?1621825696,true
Step Finance,STEP,StepAscQoEioFxxWGnh2sLBDFp9d8rvKz2Yp39iDpyT,9,https://assets.coingecko.com/coins/images/14988/large/step.png?1619274762,true
Tulip Protocol,TULIP,TuLipcqtGVXP9XR62wM8WWCm6a9vhLs7T1uoWBk6FDs,6,https://assets.coingecko.com/coins/images/15764/large/TqrUdBG.png?1621827144,true
Orca,ORCA,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,6,https://assets.coingecko.com/coins/images/17547/large/Orca_Logo.png?1628781615,true
